year,group,sys,topic,n,n_u,n_t,avg,avg_t,p_i
2011,SIFT Project,2011SiftR1,101,1000,101,899,4.739336492891,8.17272727272727,0.00988320937729365
2011,SIFT Project,2011SiftR1,102,1000,108,892,4.40528634361233,7.49579831932773,0.0990766454088844
2011,SIFT Project,2011SiftR1,103,1000,104,896,4.58715596330275,7.85964912280702,0.0129946856628421
2011,SIFT Project,2011SiftR1,104,1000,106,894,4.31034482758621,7.0952380952381,0.0981523623991428
2011,SIFT Project,2011SiftR1,105,1000,107,893,4.52488687782805,7.83333333333333,0.11909580262037
2011,SIFT Project,2011SiftR1,106,1000,106,894,4.65116279069768,8.20183486238532,0.0412387848042703
2011,SIFT Project,2011SiftR1,107,1000,96,904,4.5662100456621,7.34959349593496,0.0812902992948227
2011,SIFT Project,2011SiftR1,108,1000,91,909,4.92610837438424,8.11607142857143,0.0307897441599005
2011,SIFT Project,2011SiftR1,109,1000,115,885,4.50450450450451,8.27102803738318,0.0688794237491515
2011,SIFT Project,2011SiftR1,110,1000,103,897,4.34782608695652,7.06299212598425,0.0171338809415713
2011,SIFT Project,2011SiftR1,111,1000,94,906,4.60829493087558,7.36585365853659,0.0117567165774734
2011,SIFT Project,2011SiftR1,112,1000,101,899,4.46428571428571,7.30894308943089,0.17271155670831
2011,SIFT Project,2011SiftR1,113,1000,125,875,4,7,0.0115645443652089
2011,SIFT Project,2011SiftR1,114,1000,109,891,4.58715596330275,8.17431192660551,0.10395064984453
2011,SIFT Project,2011SiftR1,115,1000,126,874,4.36681222707424,8.48543689320388,0.0215037059204477
2011,SIFT Project,2011SiftR1,116,1000,105,895,4.52488687782805,7.71551724137931,0.0268312418290923
2011,SIFT Project,2011SiftR1,117,1000,106,894,4.739336492891,8.51428571428571,0.0392667842409458
2011,SIFT Project,2011SiftR1,118,1000,94,906,5.0251256281407,8.62857142857143,0.050385495591383
2011,SIFT Project,2011SiftR1,119,1000,136,864,4.34782608695652,9.19148936170213,0.00829265542038982
2011,SIFT Project,2011SiftR1,120,1000,114,886,4.46428571428571,8.05454545454546,0.0310443747526287
2011,SIFT Project,2011SiftR1,121,1000,95,905,4.76190476190476,7.86956521739131,0.0753000061816221
2011,SIFT Project,2011SiftR1,122,1000,98,902,4.5662100456621,7.45454545454545,0.164662473499394
2011,SIFT Project,2011SiftR1,123,1000,138,862,4.21940928270042,8.70707070707071,0.00519386898928155
2011,SIFT Project,2011SiftR1,124,1000,101,899,4.40528634361233,7.13492063492064,0.0151901595965066
2011,SIFT Project,2011SiftR1,125,1000,121,879,4.42477876106195,8.37142857142857,0.0369877353328794
2011,SIFT Project,2011SiftR1,126,1000,118,882,4.50450450450451,8.48076923076923,0.0264510252875628
2011,SIFT Project,2011SiftR1,127,1000,118,882,4.149377593361,7.17073170731707,0.014567462417422
2011,SIFT Project,2011SiftR1,128,1000,103,897,4.34782608695652,7.06299212598425,0.0344181415129861
2011,SIFT Project,2011SiftR1,129,1000,110,890,4.23728813559322,7.06349206349206,0.255773052907396
2011,SIFT Project,2011SiftR1,130,1000,106,894,4.0983606557377,6.47826086956522,0.0380790913220374
2011,SIFT Project,2011SiftR1,131,1000,100,900,4.67289719626168,7.89473684210526,0.133480709577832
2011,SIFT Project,2011SiftR1,132,1000,114,886,4.50450450450451,8.2037037037037,0.0360814763328854
2011,SIFT Project,2011SiftR1,133,1000,106,894,4.50450450450451,7.70689655172414,0.04594523967384
2011,SIFT Project,2011SiftR1,134,1000,112,888,4.03225806451613,6.52941176470588,0.0433539616478582
2011,SIFT Project,2011SiftR1,135,1000,115,885,4.48430493273543,8.19444444444445,0.0179930731777421
2011,SIFT Project,2011SiftR1,136,1000,100,900,4.83091787439614,8.41121495327103,0.0907233925824126
2011,SIFT Project,2011SiftR1,137,1000,106,894,4.32900432900433,7.152,0.112811626902061
2011,SIFT Project,2011SiftR1,138,1000,106,894,4.58715596330275,7.98214285714286,0.0425231925348037
2011,SIFT Project,2011SiftR1,139,1000,105,895,4.46428571428571,7.52100840336134,0.0702905152363
2011,SIFT Project,2011SiftR1,140,1000,105,895,4.76190476190476,8.52380952380952,0.0905390808054447
2011,SIFT Project,2011SiftR1,141,1000,94,906,4.36681222707424,6.71111111111111,0.139557671137179
2011,SIFT Project,2011SiftR1,142,1000,107,893,4.60829493087558,8.11818181818182,0.311784068410396
2011,SIFT Project,2011SiftR1,143,1000,124,876,4.23728813559322,7.82142857142857,0.0336302925804444
2011,SIFT Project,2011SiftR1,144,1000,118,882,3.81679389312977,6.125,0.0350690002544198
2011,SIFT Project,2011SiftR1,145,1000,112,888,4.52488687782805,8.14678899082569,0.141607170153711
2011,SIFT Project,2011SiftR1,146,1000,101,899,4.71698113207547,8.0990990990991,0.0671121846850225
2011,SIFT Project,2011SiftR1,147,1000,103,897,4.69483568075117,8.15454545454545,0.0246415229979209
2011,SIFT Project,2011SiftR1,148,1000,85,915,4.44444444444444,6.53571428571429,0.163256073748004
2011,SIFT Project,2011SiftR1,149,1000,99,901,4.42477876106195,7.09448818897638,0.128549637722301
2011,SIFT Project,2011SiftR1,150,1000,107,893,4.18410041841004,6.76515151515152,0.10913433771715
