sys,group
ICTNET11ADR2,Chinese Acad. of Sciences (ICT)
ICTNET11ADR3,Chinese Acad. of Sciences (ICT)
ICTNET11ADR4,Chinese Acad. of Sciences (ICT)
bpacad1,Hungarian Academy of Science
bpacadspam1,Hungarian Academy of Science
bpacadspam2,Hungarian Academy of Science
liaQEWikiA,Lab. d'informatique d'Avignon
liaQEWikiGoA,Lab. d'informatique d'Avignon
liaQEWikiGoo,Lab. d'informatique d'Avignon
msrsv2011a1,Microsoft Research
msrsv2011a2,Microsoft Research
msrsv2011a3,Microsoft Research
srchvrs11b,srchvrs
srchvrs11o,srchvrs
qutir11a,Queensland Univ. of Technology
qutir11b,Queensland Univ. of Technology
2011SiftR1,SIFT Project
2011SiftR2,SIFT Project
2011SiftR3,SIFT Project
UAmsM705FLS,Univ. of Amsterdam (Kamps)
UAmsM705tiLS,Univ. of Amsterdam (Kamps)
UAmsT05FLS,Univ. of Amsterdam (Kamps)
uogTrA45Nm,Univ. of Glasgow (Terrier)
uogTrA45Vm,Univ. of Glasgow (Terrier)
uogTrB47Vm,Univ. of Glasgow (Terrier)
umassGFuse,Univ. of Massachusetts Amherst
umassGQdist,Univ. of Massachusetts Amherst
umassIFuse,Univ. of Massachusetts Amherst
Otago2011cn,Univ. of Otago
Otago2011cnw,Univ. of Otago
DFalah11,Univ. of Ottawa
UWatMDSdm,Univ. of Waterloo (MDS)
UWatMDSql,Univ. of Waterloo (MDS)
UWatMDSqlt,Univ. of Waterloo (MDS)
uwBAadhoc,Univ. of Waterloo (Clarke)
uwBBadhoc,Univ. of Waterloo (Clarke)
uwExpAadhoc,Univ. of Waterloo (Clarke)
