sys,group
webisWt14axAll,BUW
webisWt14axMax,BUW
webisWt14axSyn,BUW
Protoss,Group.Xu
Terran,Group.Xu
Zerg,Group.Xu
ICTNET14ADR1,ICTNET
ICTNET14ADR2,ICTNET
ICTNET14ADR3,ICTNET
SNUMedinfo11,SNUMedinfo
SNUMedinfo12,SNUMedinfo
SNUMedinfo13,SNUMedinfo
udel_itu,udel
udel_itub,udel
UDInfoWebAX,udel_fang
UDInfoWebENT,udel_fang
UDInfoWebLES,udel_fang
CiirAll1,UMASS_CIIR
CiirSdm,UMASS_CIIR
CiirSub1,UMASS_CIIR
CiirSub2,UMASS_CIIR
CiirWikiRm,UMASS_CIIR
uogTrDuax,uogTr
uogTrDwl,uogTr
uogTrIwa,uogTr
utbase,ut
utexact,ut
wistud.runA,wistud
wistud.runB,wistud
wistud.runC,wistud
