sys,group
arsc09web,"ARSC, Univ of Alaska Fairbanks"
IE09,Information retrieval lab
ICTNETADRun3,"ICT, Chinese Academy of Sciences"
ICTNETADRun4,"ICT, Chinese Academy of Sciences"
ICTNETADRun5,"ICT, Chinese Academy of Sciences"
SIEL09,"IIIT, Hyderabad"
MSRAAF,Microsoft Research Asia
MSRAC,Microsoft Research Asia
MSRANORM,Microsoft Research Asia
MS1,Microsoft Research Cambridge
MS2,Microsoft Research Cambridge
irra1a,Mugla University
irra2a,Mugla University
irra3a,Mugla University
NeuLMWeb300,Northeastern University
NeuLMWeb600,Northeastern University
NeuLMWebBase,Northeastern University
pkuLink,Peking University
pkuSewmTp,Peking University
pkuStruct,Peking University
RmitLm,RMIT University
RmitOkapi,RMIT University
Sab9wtBase,Sabir Research
Sab9wtBf1,Sabir Research
Sab9wtBf2,Sabir Research
UCDSIFTinter,"SCSI, University College Dublin"
UCDSIFTprob,"SCSI, University College Dublin"
UCDSIFTslide,"SCSI, University College Dublin"
scutrun1,South China Unviersity of Tehcnology
scutrun2,South China Unviersity of Tehcnology
scutrun3,South China Unviersity of Tehcnology
muadanchor,The University of Melbourne
muadibm5,The University of Melbourne
muadimp,The University of Melbourne
THUIR09An,Tsinghua University (Min Zhang)
THUIR09LuTA,Tsinghua University (Min Zhang)
THUIR09TxAn,Tsinghua University (Min Zhang)
UamsAw7an3,University of Amsterdam
UamsAwebQE10,University of Amsterdam
uvaee,University of Amsterdam (De Rijke)
uvamrf,University of Amsterdam (De Rijke)
uvamrftop,University of Amsterdam (De Rijke)
udelIndDMRM,University of Delaware
udelIndDRPR,University of Delaware
udelIndDRSP,University of Delaware
UDWAxBL,University of Delaware (Fang)
UDWAxQE,University of Delaware (Fang)
UDWAxQEWeb,University of Delaware (Fang)
uogTrdphA,University of Glasgow Terrier Team
uogTrdphCEwP,University of Glasgow Terrier Team
uogTrdphP,University of Glasgow Terrier Team
UMHOObm25B,"University of Maryland, College Park"
UMHOObm25GS,"University of Maryland, College Park"
UMHOObm25IF,"University of Maryland, College Park"
UMHOOqlB,"University of Maryland, College Park"
UMHOOqlGS,"University of Maryland, College Park"
UMHOOqlIF,"University of Maryland, College Park"
UMHOOsd,"University of Maryland, College Park"
UMHOOsdp,"University of Maryland, College Park"
twCSrs9N,University of Twente
twCSrsR,University of Twente
twJ48rsU,University of Twente
watprf,University of Waterloo
watrrfw,University of Waterloo
watwp,University of Waterloo
WatSdmrm3,University of Waterloo (Smucker)
WatSdmrm3we,University of Waterloo (Smucker)
WatSql,University of Waterloo (Smucker)
yhooumd09BFM,Yahoo! Research
yhooumd09BGC,Yahoo! Research
yhooumd09BGM,Yahoo! Research
